customer,blocks,efficiency,smart,infra,esg,worker
Strategy & Innovation,Strategy & Innovation,0,0,0,0,0
Discovery & Business Value,Scenarios,0,0,0,0,0.5
Discovery & Business Value,Use Cases,0,0,0,0,0
Discovery & Business Value,Business Cases,0,0,0,0,0
Design & Proof of Value,User Experience,0,0,0,0,0
Design & Proof of Value,Analytics,0,0,0,0,0
Design & Proof of Value,Platform,0,0,0,0,0
Design & Proof of Value,Connectivity & Infrastructure,0,0,0,0,0
Design & Proof of Value,"Security, Compliance & Monitoring",0,0,0,0,0
Design & Proof of Value,Governance & Lifecycle Management,0,0,0,0,0
Align & Deploy,Orange Capabilities are described,0,0,0.5,0,0
Align & Deploy,Partner ecosystem is available,0,0,0,0,0
Align & Deploy,Designs are blueprinted,0,0,0,0,0
